21,52.30,"[4,0,52.30,9,18] очередь на сервер
[5,0,52.30,9,18] очередь на сервер
[6,0,52.30,9,18] очередь на сервер
[7,0,52.30,9,18] очередь на сервер
[8,0,52.30,9,18] очередь на сервер
[9,0,52.30,9,18] очередь на сервер
[10,0,52.30,9,18] очередь на сервер
[11,0,52.30,1,9] вошёл в канал","[11,0,54.03,9,18]
[3,0,56.73,18,24]
[12,0,62.00,0,1]
[2,0,100.00,0,25]"
22,54.03,"[4,0,54.03,9,18] очередь на сервер
[5,0,54.03,9,18] очередь на сервер
[6,0,54.03,9,18] очередь на сервер
[7,0,54.03,9,18] очередь на сервер
[8,0,54.03,9,18] очередь на сервер
[9,0,54.03,9,18] очередь на сервер
[10,0,54.03,9,18] очередь на сервер
[11,0,54.03,9,18] вошёл на сервер","[3,0,56.73,18,24]
[12,0,62.00,0,1]
[2,0,100.00,0,25]"
23,56.73,"[4,0,56.73,9,18] очередь на сервер
[5,0,56.73,9,18] очередь на сервер
[6,0,56.73,9,18] очередь на сервер
[7,0,56.73,9,18] очередь на сервер
[8,0,56.73,9,18] очередь на сервер
[9,0,56.73,9,18] очередь на сервер
[10,0,56.73,9,18] очередь на сервер
[11,0,56.73,9,18] очередь на сервер
[3,0,56.73,18,24] *","[12,0,62.00,0,1]
[4,0,79.53,18,24]
[2,0,100.00,0,25]"
24,62.00,"[5,0,62.00,9,18] очередь на сервер
[6,0,62.00,9,18] очередь на сервер
[7,0,62.00,9,18] очередь на сервер
[8,0,62.00,9,18] очередь на сервер
[9,0,62.00,9,18] очередь на сервер
[10,0,62.00,9,18] очередь на сервер
[11,0,62.00,9,18] очередь на сервер
[12,0,62.00,1,9] вошёл в канал","[12,0,63.73,9,18]
[13,0,67.50,0,1]
[4,0,79.53,18,24]
[2,0,100.00,0,25]"
25,63.73,"[5,0,63.73,9,18] очередь на сервер
[6,0,63.73,9,18] очередь на сервер
[7,0,63.73,9,18] очередь на сервер
[8,0,63.73,9,18] очередь на сервер
[9,0,63.73,9,18] очередь на сервер
[10,0,63.73,9,18] очередь на сервер
[11,0,63.73,9,18] очередь на сервер
[12,0,63.73,9,18] вошёл на сервер","[13,0,67.50,0,1]
[4,0,79.53,18,24]
[2,0,100.00,0,25]"
26,67.50,"[5,0,67.50,9,18] очередь на сервер
[6,0,67.50,9,18] очередь на сервер
[7,0,67.50,9,18] очередь на сервер
[8,0,67.50,9,18] очередь на сервер
[9,0,67.50,9,18] очередь на сервер
[10,0,67.50,9,18] очередь на сервер
[11,0,67.50,9,18] очередь на сервер
[12,0,67.50,9,18] очередь на сервер
[13,0,67.50,1,9] вошёл в канал","[13,0,69.23,9,18]
[14,0,76.40,0,1]
[4,0,79.53,18,24]
[2,0,100.00,0,25]"
27,69.23,"[5,0,69.23,9,18] очередь на сервер
[6,0,69.23,9,18] очередь на сервер
[7,0,69.23,9,18] очередь на сервер
[8,0,69.23,9,18] очередь на сервер
[9,0,69.23,9,18] очередь на сервер
[10,0,69.23,9,18] очередь на сервер
[11,0,69.23,9,18] очередь на сервер
[12,0,69.23,9,18] очередь на сервер
[13,0,69.23,9,18] вошёл на сервер","[14,0,76.40,0,1]
[4,0,79.53,18,24]
[2,0,100.00,0,25]"
28,76.40,"[5,0,76.40,9,18] очередь на сервер
[6,0,76.40,9,18] очередь на сервер
[7,0,76.40,9,18] очередь на сервер
[8,0,76.40,9,18] очередь на сервер
[9,0,76.40,9,18] очередь на сервер
[10,0,76.40,9,18] очередь на сервер
[11,0,76.40,9,18] очередь на сервер
[12,0,76.40,9,18] очередь на сервер
[13,0,76.40,9,18] очередь на сервер
[14,0,76.40,1,9] вошёл в канал","[14,0,78.13,9,18]
[4,0,79.53,18,24]
[15,0,85.30,0,1]
[2,0,100.00,0,25]"
29,78.13,"[5,0,78.13,9,18] очередь на сервер
[6,0,78.13,9,18] очередь на сервер
[7,0,78.13,9,18] очередь на сервер
[8,0,78.13,9,18] очередь на сервер
[9,0,78.13,9,18] очередь на сервер
[10,0,78.13,9,18] очередь на сервер
[11,0,78.13,9,18] очередь на сервер
[12,0,78.13,9,18] очередь на сервер
[13,0,78.13,9,18] очередь на сервер
[14,0,78.13,9,18] вошёл на сервер","[4,0,79.53,18,24]
[15,0,85.30,0,1]
[2,0,100.00,0,25]"
30,79.53,"[5,0,79.53,9,18] очередь на сервер
[6,0,79.53,9,18] очередь на сервер
[7,0,79.53,9,18] очередь на сервер
[8,0,79.53,9,18] очередь на сервер
[9,0,79.53,9,18] очередь на сервер
[10,0,79.53,9,18] очередь на сервер
[11,0,79.53,9,18] очередь на сервер
[12,0,79.53,9,18] очередь на сервер
[13,0,79.53,9,18] очередь на сервер
[14,0,79.53,9,18] очередь на сервер
[4,0,79.53,18,24] *","[15,0,85.30,0,1]
[2,0,100.00,0,25]
[5,0,103.53,18,24]"
31,85.30,"[6,0,85.30,9,18] очередь на сервер
[7,0,85.30,9,18] очередь на сервер
[8,0,85.30,9,18] очередь на сервер
[9,0,85.30,9,18] очередь на сервер
[10,0,85.30,9,18] очередь на сервер
[11,0,85.30,9,18] очередь на сервер
[12,0,85.30,9,18] очередь на сервер
[13,0,85.30,9,18] очередь на сервер
[14,0,85.30,9,18] очередь на сервер
[15,0,85.30,1,9] вошёл в канал","[15,0,87.03,9,18]
[16,0,89.00,0,1]
[2,0,100.00,0,25]
[5,0,103.53,18,24]"
32,87.03,"[6,0,87.03,9,18] очередь на сервер
[7,0,87.03,9,18] очередь на сервер
[8,0,87.03,9,18] очередь на сервер
[9,0,87.03,9,18] очередь на сервер
[10,0,87.03,9,18] очередь на сервер
[11,0,87.03,9,18] очередь на сервер
[12,0,87.03,9,18] очередь на сервер
[13,0,87.03,9,18] очередь на сервер
[14,0,87.03,9,18] очередь на сервер
[15,0,87.03,9,18] вошёл на сервер","[16,0,89.00,0,1]
[2,0,100.00,0,25]
[5,0,103.53,18,24]"
33,89.00,"[6,0,89.00,9,18] очередь на сервер
[7,0,89.00,9,18] очередь на сервер
[8,0,89.00,9,18] очередь на сервер
[9,0,89.00,9,18] очередь на сервер
[10,0,89.00,9,18] очередь на сервер
[11,0,89.00,9,18] очередь на сервер
[12,0,89.00,9,18] очередь на сервер
[13,0,89.00,9,18] очередь на сервер
[14,0,89.00,9,18] очередь на сервер
[15,0,89.00,9,18] очередь на сервер
[16,0,89.00,1,9] вошёл в канал","[16,0,90.73,9,18]
[17,0,91.90,0,1]
[2,0,100.00,0,25]
[5,0,103.53,18,24]"
34,90.73,"[6,0,90.73,9,18] очередь на сервер
[7,0,90.73,9,18] очередь на сервер
[8,0,90.73,9,18] очередь на сервер
[9,0,90.73,9,18] очередь на сервер
[10,0,90.73,9,18] очередь на сервер
[11,0,90.73,9,18] очередь на сервер
[12,0,90.73,9,18] очередь на сервер
[13,0,90.73,9,18] очередь на сервер
[14,0,90.73,9,18] очередь на сервер
[15,0,90.73,9,18] очередь на сервер
[16,0,90.73,9,18] вошёл на сервер","[17,0,91.90,0,1]
[2,0,100.00,0,25]
[5,0,103.53,18,24]"
35,91.90,"[6,0,91.90,9,18] очередь на сервер
[7,0,91.90,9,18] очередь на сервер
[8,0,91.90,9,18] очередь на сервер
[9,0,91.90,9,18] очередь на сервер
[10,0,91.90,9,18] очередь на сервер
[11,0,91.90,9,18] очередь на сервер
[12,0,91.90,9,18] очередь на сервер
[13,0,91.90,9,18] очередь на сервер
[14,0,91.90,9,18] очередь на сервер
[15,0,91.90,9,18] очередь на сервер
[16,0,91.90,9,18] очередь на сервер
[17,0,91.90,1,9] вошёл в канал","[17,0,93.63,9,18]
[18,0,94.20,0,1]
[2,0,100.00,0,25]
[5,0,103.53,18,24]"
36,93.63,"[6,0,93.63,9,18] очередь на сервер
[7,0,93.63,9,18] очередь на сервер
[8,0,93.63,9,18] очередь на сервер
[9,0,93.63,9,18] очередь на сервер
[10,0,93.63,9,18] очередь на сервер
[11,0,93.63,9,18] очередь на сервер
[12,0,93.63,9,18] очередь на сервер
[13,0,93.63,9,18] очередь на сервер
[14,0,93.63,9,18] очередь на сервер
[15,0,93.63,9,18] очередь на сервер
[16,0,93.63,9,18] очередь на сервер
[17,0,93.63,9,18] вошёл на сервер","[18,0,94.20,0,1]
[2,0,100.00,0,25]
[5,0,103.53,18,24]"
37,94.20,"[6,0,94.20,9,18] очередь на сервер
[7,0,94.20,9,18] очередь на сервер
[8,0,94.20,9,18] очередь на сервер
[9,0,94.20,9,18] очередь на сервер
[10,0,94.20,9,18] очередь на сервер
[11,0,94.20,9,18] очередь на сервер
[12,0,94.20,9,18] очередь на сервер
[13,0,94.20,9,18] очередь на сервер
[14,0,94.20,9,18] очередь на сервер
[15,0,94.20,9,18] очередь на сервер
[16,0,94.20,9,18] очередь на сервер
[17,0,94.20,9,18] очередь на сервер
[18,0,94.20,1,9] вошёл в канал","[18,0,95.93,9,18]
[2,0,100.00,0,25]
[19,0,102.60,0,1]
[5,0,103.53,18,24]"
38,95.93,"[6,0,95.93,9,18] очередь на сервер
[7,0,95.93,9,18] очередь на сервер
[8,0,95.93,9,18] очередь на сервер
[9,0,95.93,9,18] очередь на сервер
[10,0,95.93,9,18] очередь на сервер
[11,0,95.93,9,18] очередь на сервер
[12,0,95.93,9,18] очередь на сервер
[13,0,95.93,9,18] очередь на сервер
[14,0,95.93,9,18] очередь на сервер
[15,0,95.93,9,18] очередь на сервер
[16,0,95.93,9,18] очередь на сервер
[17,0,95.93,9,18] очередь на сервер
[18,0,95.93,9,18] вошёл на сервер","[2,0,100.00,0,25]
[19,0,102.60,0,1]
[5,0,103.53,18,24]"
39,100.00,"[6,0,100.00,9,18] очередь на сервер
[7,0,100.00,9,18] очередь на сервер
[8,0,100.00,9,18] очередь на сервер
[9,0,100.00,9,18] очередь на сервер
[10,0,100.00,9,18] очередь на сервер
[11,0,100.00,9,18] очередь на сервер
[12,0,100.00,9,18] очередь на сервер
[13,0,100.00,9,18] очередь на сервер
[14,0,100.00,9,18] очередь на сервер
[15,0,100.00,9,18] очередь на сервер
[16,0,100.00,9,18] очередь на сервер
[17,0,100.00,9,18] очередь на сервер
[18,0,100.00,9,18] очередь на сервер
[2,0,100.00,25,26] *","[19,0,102.60,0,1]
[5,0,103.53,18,24]"
